,Movie Title,Movie URL,Release Year,Rank,Ratings,Votes
67,Princess Mononoke,https://www.imdb.com/title/tt0119698/,1997-01-01,68,8.4,376350
68,Oldboy,https://www.imdb.com/title/tt0364569/,2003-01-01,69,8.4,555349
69,Joker,https://www.imdb.com/title/tt7286456/,2019-01-01,70,8.4,1146919
70,Your Name.,https://www.imdb.com/title/tt5311514/,2016-01-01,71,8.4,241945
71,Coco,https://www.imdb.com/title/tt2380307/,2017-01-01,72,8.4,463175
72,The Dark Knight Rises,https://www.imdb.com/title/tt1345836/,2012-01-01,73,8.4,1619457
73,Aliens,https://www.imdb.com/title/tt0090605/,1986-01-01,74,8.3,692891
74,Once Upon a Time in America,https://www.imdb.com/title/tt0087843/,1984-01-01,75,8.3,338594
75,Avengers: Endgame,https://www.imdb.com/title/tt4154796/,2019-01-01,76,8.4,1015714
76,Capernaum,https://www.imdb.com/title/tt8267604/,2018-01-01,77,8.4,82133
77,Das Boot,https://www.imdb.com/title/tt0082096/,1981-01-01,78,8.3,245091
78,High and Low,https://www.imdb.com/title/tt0057565/,1963-01-01,79,8.4,41762
79,3 Idiots,https://www.imdb.com/title/tt1187043/,2009-01-01,80,8.4,379079
80,Toy Story,https://www.imdb.com/title/tt0114709/,1995-01-01,81,8.3,951203
81,Amadeus,https://www.imdb.com/title/tt0086879/,1984-01-01,82,8.3,389914
82,American Beauty,https://www.imdb.com/title/tt0169547/,1999-01-01,83,8.3,1123038
83,Braveheart,https://www.imdb.com/title/tt0112573/,1995-01-01,84,8.3,1007647
84,Inglourious Basterds,https://www.imdb.com/title/tt0361748/,2009-01-01,85,8.3,1374071
85,Good Will Hunting,https://www.imdb.com/title/tt0119217/,1997-01-01,86,8.3,925554
86,Hamilton,https://www.imdb.com/title/tt8503618/,2020-01-01,87,8.4,83100
87,Come and See,https://www.imdb.com/title/tt0091251/,1985-01-01,88,8.3,72359
88,Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/,1983-01-01,89,8.3,1009590
89,2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/,1968-01-01,90,8.3,644568
90,Reservoir Dogs,https://www.imdb.com/title/tt0105236/,1992-01-01,91,8.3,979755
91,Like Stars on Earth,https://www.imdb.com/title/tt0986264/,2007-01-01,92,8.4,185829
92,Vertigo,https://www.imdb.com/title/tt0052357/,1958-01-01,93,8.3,390742
93,M,https://www.imdb.com/title/tt0022100/,1931-01-01,94,8.3,153788
94,The Hunt,https://www.imdb.com/title/tt2106476/,2012-01-01,95,8.3,314671
95,Citizen Kane,https://www.imdb.com/title/tt0033467/,1941-01-01,96,8.3,430601
96,Singin' in the Rain,https://www.imdb.com/title/tt0045152/,1952-01-01,97,8.3,234312
97,Requiem for a Dream,https://www.imdb.com/title/tt0180093/,2000-01-01,98,8.3,812076
98,North by Northwest,https://www.imdb.com/title/tt0053125/,1959-01-01,99,8.3,318751
99,Ikiru,https://www.imdb.com/title/tt0044741/,1952-01-01,100,8.3,75818
100,Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/,2004-01-01,101,8.3,969250
101,Bicycle Thieves,https://www.imdb.com/title/tt0040522/,1948-01-01,102,8.3,159160
102,Lawrence of Arabia,https://www.imdb.com/title/tt0056172/,1962-01-01,103,8.3,285257
103,The Kid,https://www.imdb.com/title/tt0012349/,1921-01-01,104,8.3,123215
104,Full Metal Jacket,https://www.imdb.com/title/tt0093058/,1987-01-01,105,8.3,716184
105,Incendies,https://www.imdb.com/title/tt1255953/,2010-01-01,106,8.3,169351
106,Dangal,https://www.imdb.com/title/tt5074352/,2016-01-01,107,8.4,178489
107,The Apartment,https://www.imdb.com/title/tt0053604/,1960-01-01,108,8.3,176203
108,Double Indemnity,https://www.imdb.com/title/tt0036775/,1944-01-01,109,8.3,152911
109,Metropolis,https://www.imdb.com/title/tt0017136/,1927-01-01,110,8.3,170058
110,A Clockwork Orange,https://www.imdb.com/title/tt0066921/,1971-01-01,111,8.3,801948
111,Taxi Driver,https://www.imdb.com/title/tt0075314/,1976-01-01,112,8.2,784288
112,The Father,https://www.imdb.com/title/tt10272386/,2020-01-01,113,8.3,125362
113,A Separation,https://www.imdb.com/title/tt1832382/,2011-01-01,114,8.3,238845
114,The Sting,https://www.imdb.com/title/tt0070735/,1973-01-01,115,8.3,255076
115,Scarface,https://www.imdb.com/title/tt0086250/,1983-01-01,116,8.3,800021
116,Snatch,https://www.imdb.com/title/tt0208092/,2000-01-01,117,8.2,828684
117,1917,https://www.imdb.com/title/tt8579674/,2019-01-01,118,8.3,532979
118,Amélie,https://www.imdb.com/title/tt0211915/,2001-01-01,119,8.3,737170
119,To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/,1962-01-01,120,8.2,309218
120,Toy Story 3,https://www.imdb.com/title/tt0435761/,2010-01-01,121,8.2,804057
121,For a Few Dollars More,https://www.imdb.com/title/tt0059578/,1965-01-01,122,8.2,248940
122,Up,https://www.imdb.com/title/tt1049413/,2009-01-01,123,8.2,1001244
123,Pather Panchali,https://www.imdb.com/title/tt0048473/,1955-01-01,124,8.4,30608
124,Indiana Jones and the Last Crusade,https://www.imdb.com/title/tt0097576/,1989-01-01,125,8.2,731367
125,Heat,https://www.imdb.com/title/tt0113277/,1995-01-01,126,8.2,625837
126,L.A. Confidential,https://www.imdb.com/title/tt0119488/,1997-01-01,127,8.2,565430
